Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
21/06/2025 07:33 a. m.,Echada sin ordeñar,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
21/06/2025 07:42 a. m.,Echada sin ordeñar,01:05,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
21/06/2025 07:47 a. m.,Ordeño,09:11,11.65,1,,,,,0,"DI,DD",1.14,1.38,1.74,1.44,2051,0,0,0,5.78,5.99,4.42,4.52,VMS 3,,Divert 3,,1.50,1.80,2.40,1.80,3.03,3.28,2.36,2.98
22/06/2025 07:38 p. m.,Ordeño,11:00,11.54,1,,TD,,DD,1,,1.80,0.42,1.44,1.44,607,0,0,0,5.05,0.00,4.38,4.56,VMS 3,,Divert 3,,2.40,1.14,2.46,1.80,3.16,0.16,5.62,2.60
24/06/2025 06:28 a. m.,Ordeño,07:04,14.55,1,,,,,0,,1.50,1.20,1.44,1.02,512,0,0,0,5.20,5.10,4.81,2.85,VMS 3,,Tanque,,1.86,1.50,1.92,1.50,3.79,3.77,2.80,4.19
24/06/2025 05:16 p. m.,Ordeño,04:56,5.47,2,,Todos,,,0,,1.44,1.38,1.50,1.14,0,0,0,0,4.89,4.77,4.77,2.68,VMS 3,,Tanque,,1.80,1.98,1.92,1.62,1.12,1.42,1.39,1.54
25/06/2025 09:44 a. m.,Ordeño,05:30,8.78,1,,TD,,,0,,1.50,1.44,1.68,1.08,0,0,0,0,5.05,4.99,4.95,2.43,VMS 3,,Tanque,,2.04,1.86,2.64,1.50,2.34,2.30,2.33,1.81
26/06/2025 01:32 a. m.,Ordeño,05:28,9.76,1,,TD,,,1,,1.68,1.44,1.86,1.26,0,0,0,0,4.82,4.91,4.71,2.81,VMS 3,,Tanque,,2.04,1.92,2.46,2.04,2.34,2.75,2.07,2.60
26/06/2025 01:38 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
26/06/2025 11:09 a. m.,Ordeño,05:19,6.60,2,,TI,,,0,,1.44,1.38,1.38,1.08,0,0,0,0,5.12,4.97,2.75,2.75,VMS 3,,Tanque,,2.04,1.92,2.22,2.04,1.63,1.82,1.36,1.79
27/06/2025 04:20 a. m.,Ordeño,05:31,11.15,1,,TD,,,0,,1.74,1.62,2.04,1.20,0,0,0,0,4.72,4.72,4.19,2.81,VMS 3,,Tanque,,2.52,2.04,2.76,1.92,2.62,2.63,2.69,3.21
27/06/2025 05:02 p. m.,Ordeño,05:39,10.67,2,,,,,0,,1.62,1.74,1.74,1.02,0,0,0,0,4.79,4.73,4.54,2.68,VMS 3,,Tanque,,2.28,2.70,2.22,1.92,2.61,2.79,2.41,2.86
28/06/2025 09:51 a. m.,Ordeño,05:59,11.29,1,,TD,,,0,,1.26,1.56,1.62,1.26,0,0,0,0,4.57,4.57,4.49,2.81,VMS 3,,Tanque,,1.68,2.22,2.16,2.10,2.84,3.00,2.72,2.73
29/06/2025 11:15 a. m.,Ordeño,05:29,12.79,1,,,,,0,,1.56,1.74,1.62,1.20,0,0,0,0,4.45,4.60,3.97,2.81,VMS 3,,Tanque,,1.98,2.22,2.28,2.22,2.99,3.21,3.27,3.32
29/06/2025 09:55 p. m.,Ordeño,05:23,6.46,2,,,,,0,,1.14,1.38,1.44,1.20,0,0,0,0,4.20,4.33,4.45,3.24,VMS 3,,Tanque,,1.62,2.04,1.98,1.86,1.46,1.69,1.70,1.61
30/06/2025 11:41 p. m.,Ordeño,06:49,11.64,1,,,,,0,,1.62,1.56,0.90,1.62,0,0,0,0,4.88,4.80,2.48,4.60,VMS 3,,Tanque,,2.04,2.16,2.16,2.10,3.26,3.12,2.35,2.91
01/07/2025 10:20 a. m.,Ordeño,07:21,7.36,1,,TD,,,0,,1.20,1.38,1.08,1.32,0,0,0,0,4.41,4.44,2.55,1.68,VMS 3,,Tanque,,1.68,1.80,1.86,2.04,1.38,1.73,1.65,2.60
01/07/2025 07:47 p. m.,Ordeño,07:17,8.47,2,,TD,,,0,,1.32,1.44,1.50,0.84,0,0,0,0,4.65,4.58,4.64,1.54,VMS 3,,Tanque,,1.74,1.86,1.98,1.86,1.61,1.92,2.66,2.28
02/07/2025 10:50 a. m.,Ordeño,09:43,7.23,1,,DD,TD,,0,"DI,DD",1.74,1.56,1.86,0.48,0,0,0,0,4.87,4.71,4.57,3.40,VMS 3,,Tanque,,2.22,2.28,2.46,1.32,2.52,1.98,2.35,0.38
03/07/2025 01:30 a. m.,Ordeño,05:25,9.10,1,,,TI,TI,0,,1.50,1.62,0.00,1.26,0,0,0,0,4.87,4.78,0.00,2.66,VMS 3,,Tanque,,2.40,2.04,0.00,1.98,2.66,3.18,0.00,3.26
03/07/2025 11:12 a. m.,Ordeño,08:57,9.39,2,,"TI,TD",,,0,,1.56,1.50,1.02,1.02,0,0,0,0,4.90,4.79,2.08,2.81,VMS 3,,Tanque,,2.40,1.86,1.98,1.74,2.05,2.35,3.48,1.51
04/07/2025 06:48 a. m.,Ordeño,06:48,10.95,1,,TD,,,0,,1.56,1.50,1.74,0.66,0,0,0,0,4.71,4.72,4.70,2.21,VMS 3,,Tanque,,1.92,2.28,2.22,1.02,2.92,3.40,2.98,1.65
04/07/2025 09:57 p. m.,Ordeño,09:13,6.99,2,,TD,"TI,TD",,0,,1.20,1.50,0.84,0.90,0,0,0,0,4.69,4.78,2.81,2.14,VMS 3,,Tanque,,2.16,2.04,1.44,1.62,2.58,2.48,0.75,1.18
05/07/2025 03:06 p. m.,Ordeño,08:09,8.13,1,,,TD,,1,,1.44,1.62,1.68,0.84,0,0,0,0,4.75,4.97,4.45,2.95,VMS 3,,Tanque,,2.34,2.10,2.22,1.56,2.62,2.27,2.73,0.51
06/07/2025 04:08 a. m.,Ordeño,10:31,6.16,1,,,DD,DD,0,,1.38,0.18,1.62,1.20,0,0,0,0,4.48,0.00,4.33,3.73,VMS 3,,Tanque,,1.86,0.48,2.34,2.16,1.75,0.08,1.76,2.57
06/07/2025 04:19 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
07/07/2025 04:01 a. m.,Ordeño,07:47,10.83,1,,,TD,,1,,1.62,1.56,1.62,1.02,0,0,0,0,4.75,4.78,4.88,2.48,VMS 3,,Tanque,,2.22,2.10,2.16,1.50,3.46,3.17,2.94,1.26
07/07/2025 05:04 p. m.,Ordeño,06:29,7.56,2,,TD,,,0,,1.44,1.26,1.50,1.26,0,0,0,0,4.41,4.43,4.53,1.27,VMS 3,,Tanque,,2.04,1.68,1.98,2.04,1.85,1.77,1.87,2.07
08/07/2025 02:58 a. m.,Ordeño,07:48,5.20,1,,,TD,TD,0,,1.56,1.32,1.44,0.00,0,0,0,0,4.42,4.33,4.73,0.00,VMS 3,,Tanque,,2.10,1.86,1.86,0.00,1.74,1.66,1.80,0.00
08/07/2025 09:26 p. m.,Ordeño,11:48,9.56,2,,"TI,TD",,DI,0,,0.30,1.56,0.66,1.50,0,0,0,0,2.41,4.85,1.94,5.01,VMS 3,,Tanque,,0.78,2.10,1.62,1.98,0.17,2.88,3.36,3.15
09/07/2025 11:48 a. m.,Ordeño,09:56,5.50,1,,"TI,TD","TI,TD",,0,,1.50,1.38,1.02,1.38,0,0,0,0,4.49,4.53,2.35,2.68,VMS 3,,Tanque,,1.98,1.98,1.80,2.16,2.36,2.49,0.25,0.40
09/07/2025 11:09 p. m.,Ordeño,07:44,5.03,2,,TI,"TI,TD",TD,0,,1.56,1.38,0.66,0.00,0,0,0,0,4.77,4.52,2.41,0.00,VMS 3,,Tanque,,2.04,1.86,1.20,0.00,2.25,2.05,0.73,0.00
10/07/2025 11:51 a. m.,Ordeño,08:37,5.72,1,,TD,TD,TD,0,,1.68,1.50,1.56,0.36,0,0,0,0,4.97,4.92,4.45,2.81,VMS 3,,Tanque,,2.10,2.16,2.10,0.60,2.23,1.72,1.72,0.05
