Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 02:18 a. m.,Ordeño,08:13,11.14,1,,,,,0,,1.14,1.14,0.78,1.44,0,0,0,0,5.03,5.00,5.12,0.00,VMS 1,,Tanque,,1.56,1.50,1.20,1.92,3.37,2.76,0.96,4.05
01/03/2025 11:58 a. m.,Ordeño,08:51,11.11,2,,,,TI,0,,1.32,1.14,0.00,1.38,0,0,0,0,5.03,4.80,0.00,0.00,VMS 1,,Tanque,,1.68,1.44,0.00,1.80,3.76,3.07,0.00,4.28
02/03/2025 09:42 a. m.,Ordeño,08:22,15.82,1,,,,,1,,1.32,1.20,1.02,1.44,0,0,0,0,4.98,5.02,5.61,0.00,VMS 1,,Tanque,,1.68,1.56,1.44,2.04,4.96,4.13,1.97,4.76
02/03/2025 10:02 p. m.,Ordeño,08:32,12.39,2,,"DI,TD",,TI,0,,1.26,1.08,0.00,1.32,0,0,0,0,4.76,4.70,0.00,0.00,VMS 1,,Tanque,,2.04,1.44,0.00,1.80,3.92,3.56,0.00,4.91
03/03/2025 02:16 p. m.,Ordeño,09:00,16.03,1,,"TI,TD",,,0,,1.38,1.20,1.02,1.62,0,0,0,0,4.85,4.80,0.00,4.48,VMS 1,,Tanque,,1.74,1.68,2.04,2.16,4.61,4.37,2.48,4.57
04/03/2025 06:46 a. m.,Ordeño,09:37,14.43,1,,,TI,TI,0,,1.26,1.20,0.12,1.50,0,0,0,0,4.91,4.96,2.75,0.00,VMS 1,,Tanque,,2.04,1.68,0.24,2.10,4.97,4.29,0.07,5.10
04/03/2025 11:29 p. m.,Ordeño,08:57,16.11,2,,"DI,TI",,,0,,1.26,1.20,0.90,1.44,0,0,0,0,4.77,4.61,5.16,0.00,VMS 1,,Tanque,,1.80,1.56,1.38,1.86,5.09,3.98,1.80,5.24
05/03/2025 08:22 a. m.,Ordeño,07:14,9.78,1,,,,,0,,1.32,1.14,0.78,1.50,0,0,0,0,4.63,4.48,4.55,0.00,VMS 1,,Tanque,,1.74,1.56,1.14,1.92,3.01,2.41,0.90,3.46
06/03/2025 10:03 a. m.,Ordeño,10:09,17.45,1,,,,,0,TI,1.38,1.26,1.02,1.50,0,0,0,0,4.60,4.65,5.49,0.00,VMS 1,,Tanque,,1.80,1.74,1.50,1.92,5.00,4.37,2.47,5.61
07/03/2025 03:14 a. m.,Ordeño,06:54,15.30,1,,TI,,,1,TI,1.26,1.20,1.02,1.44,0,0,0,0,4.33,4.52,5.22,0.00,VMS 1,,Tanque,,1.74,1.68,1.32,2.04,4.17,4.27,1.69,5.17
07/03/2025 04:53 p. m.,Ordeño,08:26,12.44,2,,TD,TI,,0,,1.38,1.20,1.26,1.50,0,0,0,0,4.45,4.45,4.56,0.00,VMS 1,,Tanque,,1.86,1.62,1.74,1.98,4.23,3.54,0.57,4.10
08/03/2025 03:37 a. m.,Ordeño,05:48,12.81,1,,,,,0,,1.32,1.08,1.02,1.32,0,0,0,0,4.39,4.34,4.87,0.00,VMS 1,,Tanque,,1.74,1.56,1.44,1.68,3.69,2.98,2.10,4.04
08/03/2025 04:14 p. m.,Ordeño,10:14,12.02,2,,TD,,,0,,1.26,1.14,1.02,1.26,0,0,0,0,4.58,4.55,4.88,0.00,VMS 1,,Tanque,,1.80,1.44,1.44,2.04,4.02,3.46,1.34,3.20
09/03/2025 07:33 a. m.,Ordeño,12:46,13.71,1,,,TI,TI,0,,1.38,1.20,0.00,1.50,0,0,0,0,4.65,4.69,0.00,0.00,VMS 1,,Tanque,,1.86,1.68,0.00,1.98,4.36,3.77,0.00,5.58
09/03/2025 07:47 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 1,,,,,,,,,,,
10/03/2025 12:15 a. m.,Ordeño,11:17,16.01,1,,"DD,TD",,,0,,1.44,1.26,1.20,1.38,0,0,0,0,4.33,4.54,4.87,0.00,VMS 1,,Tanque,,2.34,1.56,1.68,2.28,5.08,5.12,2.08,3.73
10/03/2025 02:39 p. m.,Ordeño,10:20,13.70,2,,"DI,TI",,,0,,1.44,1.26,1.50,1.50,0,0,0,0,4.26,4.23,4.31,0.00,VMS 1,,Tanque,,2.34,2.22,2.28,2.04,3.81,4.33,2.72,2.84
11/03/2025 08:39 a. m.,Ordeño,08:50,15.54,1,,"DI,TD",,,0,,1.38,1.32,1.14,1.50,0,0,0,0,4.26,4.17,4.57,0.00,VMS 1,,Tanque,,2.22,1.74,1.62,2.40,4.56,4.46,2.45,4.07
11/03/2025 07:12 p. m.,Ordeño,10:39,12.59,2,,TD,,,0,,1.32,1.14,0.54,1.68,0,0,0,0,4.18,4.25,0.00,4.37,VMS 1,,Tanque,,1.86,1.56,1.02,2.10,4.26,2.79,0.32,5.22
12/03/2025 10:55 a. m.,Ordeño,11:21,14.07,1,,TD,,,0,,1.44,1.38,1.50,0.78,0,0,0,0,4.27,4.31,0.00,4.29,VMS 1,,Tanque,,2.28,1.80,2.04,1.44,4.78,3.90,4.89,0.50
13/03/2025 12:09 a. m.,Ordeño,09:32,14.66,1,,TD,,,0,,1.38,1.32,1.14,1.68,0,0,0,0,4.47,4.43,0.00,4.44,VMS 1,,Tanque,,1.80,1.86,2.04,2.04,4.28,3.60,3.15,3.63
13/03/2025 05:05 p. m.,Ordeño,10:56,12.90,2,,TI,TD,TD,0,,1.44,1.26,1.20,0.00,0,0,0,0,5.03,5.11,5.20,0.00,VMS 1,,Tanque,,2.16,1.68,2.34,0.00,5.75,4.59,2.56,0.00
