Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 01:38 a. m.,Ordeño,09:04,3.73,1,,DI,"TI,TD","TI,TD",0,,0.78,0.66,0.00,0.00,0,0,0,0,4.87,4.56,0.00,0.00,VMS 2,,Tanque,,1.26,0.96,0.00,0.00,1.87,1.86,0.00,0.00
01/03/2025 07:52 a. m.,Ordeño,08:17,16.33,2,,,,,0,,0.84,0.66,0.96,1.20,0,0,0,0,4.55,4.36,4.85,4.86,VMS 2,,Tanque,,1.26,1.08,1.50,1.62,2.34,2.52,5.31,6.16
01/03/2025 02:22 p. m.,Ordeño,11:01,3.51,3,,,"TI,TD","TI,TD",0,,0.54,0.66,0.00,0.00,0,0,0,0,4.46,4.43,0.00,0.00,VMS 2,,Tanque,,1.38,1.02,0.00,0.00,1.48,2.03,0.00,0.00
01/03/2025 07:41 p. m.,Ordeño,08:35,12.84,4,,,,,0,,0.72,0.60,0.84,1.08,0,0,362,0,4.66,4.37,4.82,4.78,VMS 2,,Tanque,,1.08,0.90,1.26,1.50,1.47,1.68,4.48,5.21
02/03/2025 09:06 a. m.,Ordeño,10:36,21.23,1,,,,,0,,0.96,0.66,1.02,1.08,0,0,0,0,5.13,4.83,4.88,4.86,VMS 2,,Tanque,,1.32,1.20,1.44,1.68,4.14,4.41,6.09,6.59
02/03/2025 05:05 p. m.,Ordeño,08:00,12.38,2,,,,,0,,0.84,0.72,1.02,1.08,0,0,0,0,4.53,4.23,4.52,4.55,VMS 2,,Tanque,,1.20,1.08,1.38,1.50,2.39,2.94,3.39,3.66
03/03/2025 01:50 a. m.,Ordeño,08:42,12.82,1,,,,,0,,0.78,0.66,0.90,1.02,0,0,0,0,4.67,4.43,4.87,4.86,VMS 2,,Tanque,,1.20,1.02,1.32,1.56,2.48,2.80,3.53,4.01
03/03/2025 01:31 p. m.,Ordeño,09:31,16.36,2,,,,,0,,0.84,0.66,0.96,0.96,0,0,0,0,4.68,4.55,4.87,4.87,VMS 2,,Tanque,,1.26,1.08,1.44,1.56,3.03,3.58,4.77,4.98
03/03/2025 09:24 p. m.,Ordeño,07:20,12.49,3,,,,,0,,0.84,0.66,0.96,1.08,0,0,0,0,4.54,4.15,4.60,4.67,VMS 2,,Tanque,,1.20,1.08,1.44,1.62,2.54,2.85,3.52,3.58
04/03/2025 07:26 a. m.,Ordeño,07:24,15.10,1,,,,,0,,0.78,0.72,1.08,1.02,0,0,0,0,4.87,4.54,4.91,4.91,VMS 2,,Tanque,,1.38,1.08,1.44,1.62,2.95,3.30,4.25,4.60
04/03/2025 06:31 p. m.,Ordeño,07:14,13.75,2,,,,,0,,0.78,0.72,0.90,0.96,0,0,0,0,4.60,4.56,4.73,4.74,VMS 2,,Tanque,,1.20,1.26,1.38,1.38,2.56,2.95,4.02,4.22
05/03/2025 02:02 a. m.,Ordeño,08:02,10.85,1,,,,,0,,0.84,0.66,0.90,1.02,0,0,0,0,4.52,4.43,4.73,4.68,VMS 2,,Tanque,,1.26,1.08,1.38,1.38,1.96,2.42,3.02,3.45
05/03/2025 09:43 a. m.,Ordeño,07:31,11.68,2,,,,,0,,0.78,0.72,0.96,1.02,0,0,0,0,4.66,4.57,4.87,4.80,VMS 2,,Tanque,,1.20,1.08,1.44,1.38,2.31,2.44,3.33,3.60
06/03/2025 12:46 a. m.,Ordeño,09:43,20.75,1,,,,,0,,0.84,0.72,0.96,1.02,0,0,0,0,4.86,4.64,4.95,4.51,VMS 2,,Tanque,,1.26,1.20,1.44,1.50,4.02,4.30,5.92,6.51
06/03/2025 09:48 a. m.,Ordeño,08:25,13.85,2,,,,,0,,0.72,0.72,1.08,0.90,0,0,0,0,4.51,4.41,4.73,4.70,VMS 2,,Tanque,,1.20,1.08,1.56,1.26,2.68,3.03,4.38,3.76
