Numero del animal,Hora de inicio,Duración (mm:ss),Hora de inicio (Parsed),Hora de fin (Parsed)
undefined,Pezón,DI,,
undefined,,1.26,,
undefined,,1.14,,
undefined,TI,1.20,,
undefined,,1.20,,
undefined,,1.14,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,1.14,,
undefined,,1.20,,
undefined,,1.14,,
undefined,,1.26,,
undefined,,1.20,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,,,
undefined,,1.20,,
undefined,,1.08,,
undefined,,1.20,,
undefined,,1.32,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,,,
undefined,,1.44,,
undefined,,1.44,,
undefined,,1.32,,
undefined,,1.38,,
undefined,,1.44,,
undefined,TI,0.78,,
undefined,,1.26,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,1.56,,
undefined,,1.26,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,1.08,,
undefined,,1.20,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.20,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.14,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,,,
undefined,,1.44,,
undefined,,1.32,,
undefined,,1.02,,
undefined,,1.14,,
undefined,,1.44,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,0.00,,
undefined,,1.38,,
undefined,,1.56,,
undefined,,1.44,,
undefined,,1.26,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.32,,
undefined,"DI,TD",1.32,,
undefined,,1.44,,
undefined,TI,1.44,,
undefined,TI,1.26,,
undefined,TI,1.26,,
undefined,,1.32,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.20,,
undefined,TI,1.44,,
undefined,,1.32,,
undefined,,1.38,,
undefined,TI,1.26,,
undefined,,1.14,,
undefined,,1.26,,
undefined,TI,1.02,,
undefined,,1.32,,
undefined,,1.14,,
undefined,,1.50,,
undefined,,1.26,,
undefined,,1.44,,
undefined,,1.32,,
undefined,,,,
undefined,,1.38,,
undefined,,1.50,,
undefined,,1.50,,
undefined,,1.32,,
undefined,,1.20,,
undefined,,1.44,,
undefined,,1.32,,
undefined,,1.38,,
undefined,,1.50,,
undefined,,1.56,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,1.14,,
undefined,,1.20,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.20,,
undefined,,1.14,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.38,,
undefined,,1.20,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.20,,
undefined,,1.32,,
undefined,,1.26,,
undefined,"TI,TD",1.26,,
undefined,TI,1.38,,
undefined,,1.38,,
undefined,,1.62,,
undefined,,1.56,,
undefined,,1.44,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.14,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.08,,
undefined,,1.44,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.14,,
undefined,,1.32,,
undefined,,1.38,,
undefined,,1.14,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.50,,
undefined,TI,1.20,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.56,,
undefined,,1.26,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.14,,
undefined,,1.44,,
undefined,TI,1.20,,
undefined,,1.38,,
undefined,,1.26,,
undefined,,1.62,,
undefined,,1.62,,
undefined,,1.50,,
undefined,,1.32,,
undefined,,1.50,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.68,,
undefined,,1.50,,
undefined,,1.50,,
undefined,,,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.74,,
undefined,,1.44,,
undefined,,1.44,,
undefined,,,,
undefined,,1.32,,
undefined,,1.32,,
undefined,TD,1.38,,
undefined,,1.32,,
undefined,,1.56,,
undefined,,1.44,,
undefined,,1.68,,
undefined,,,,
undefined,,1.62,,
undefined,,1.32,,
undefined,,1.50,,
undefined,,1.32,,
undefined,,1.38,,
undefined,,1.20,,
undefined,,1.32,,
undefined,,1.38,,
undefined,,1.50,,
undefined,,1.50,,
undefined,TI,1.44,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,1.56,,
undefined,,1.68,,
undefined,,1.68,,
undefined,,1.56,,
undefined,,1.74,,
undefined,,1.38,,
undefined,,1.56,,
undefined,,1.56,,
undefined,TI,1.44,,
undefined,TI,1.38,,
undefined,,1.38,,
undefined,TI,1.38,,
undefined,,1.56,,
undefined,,1.62,,
undefined,,1.68,,
undefined,TI,1.14,,
undefined,,1.74,,
undefined,TI,1.20,,
undefined,TI,1.26,,
undefined,TI,1.62,,
undefined,,1.14,,
undefined,TD,1.44,,
undefined,,1.26,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,1.38,,
undefined,Pezón,DI,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.14,,
undefined,,1.14,,
undefined,,1.26,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.14,,
undefined,,1.14,,
undefined,,1.20,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,1.44,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.20,,
undefined,,1.02,,
undefined,,1.26,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,1.26,,
undefined,,1.20,,
undefined,,1.56,,
undefined,,1.50,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.50,,
undefined,,1.44,,
undefined,,1.56,,
undefined,,1.44,,
undefined,,,,
undefined,,1.50,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.44,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.50,,
undefined,"DI,TD",1.32,,
undefined,,1.14,,
undefined,,,,
undefined,,1.20,,
undefined,,1.08,,
undefined,,1.38,,
undefined,,1.26,,
undefined,,1.38,,
undefined,,1.14,,
undefined,,1.14,,
undefined,,1.20,,
undefined,,1.20,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.20,,
undefined,,1.20,,
undefined,,1.38,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,1.20,,
undefined,,1.44,,
undefined,,1.26,,
undefined,,1.08,,
undefined,,1.14,,
undefined,,1.08,,
undefined,,1.20,,
undefined,,1.44,,
undefined,,1.44,,
undefined,,1.62,,
undefined,,1.44,,
undefined,,1.32,,
undefined,,1.44,,
undefined,,1.50,,
undefined,,1.08,,
undefined,,1.26,,
undefined,"TI,TD",1.02,,
undefined,,1.32,,
undefined,,1.56,,
undefined,,1.44,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.62,,
undefined,,1.38,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.14,,
undefined,,,,
undefined,,1.20,,
undefined,,,,
undefined,,1.20,,
undefined,,1.20,,
undefined,,1.20,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.20,,
undefined,,1.20,,
undefined,,1.20,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.50,,
undefined,TD,1.38,,
undefined,,1.38,,
undefined,,1.50,,
undefined,,1.32,,
undefined,,1.44,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.56,,
undefined,,1.50,,
undefined,,1.74,,
undefined,,1.50,,
undefined,,,,
undefined,,1.44,,
undefined,,1.56,,
undefined,,1.62,,
undefined,,1.68,,
undefined,,1.56,,
undefined,,1.68,,
undefined,,1.86,,
undefined,"DI,DD,TD",1.50,,
undefined,TI,1.50,,
undefined,,1.56,,
undefined,,1.62,,
undefined,,1.62,,
undefined,,1.62,,
undefined,,1.62,,
undefined,,1.62,,
undefined,,1.56,,
undefined,DI,1.38,,
undefined,,1.44,,
undefined,,1.44,,
undefined,,1.50,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.38,,
undefined,Pezón,DI,,
undefined,,1.14,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.38,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.32,,
undefined,TI,1.38,,
undefined,TI,1.26,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.38,,
undefined,,,,
undefined,,1.44,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.44,,
undefined,,1.32,,
undefined,,1.44,,
undefined,,1.38,,
undefined,,1.32,,
undefined,,1.26,,
undefined,,1.26,,
undefined,,1.38,,
undefined,,,,
undefined,,1.32,,
undefined,TI,1.38,,
undefined,,1.32,,
undefined,,1.32,,
undefined,,1.14,,
undefined,,1.32,,
undefined,TD,1.20,,
undefined,,1.44,,
undefined,,1.32,,
undefined,,,,
undefined,,1.32,,
undefined,,1.50,,
