Número del animal,DEL,Hora Inicio Ordeño,Ubre,DI,DD,TI,TD,MDI,Media OCC en los últimos 7 días,Última OCC (x 1000),MI>12,Media Interv. Ordeño,Éxito IO (h),DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,RCS (x 1000),Fecha RCS,DI,DD,TI,TD,Fecha CMT,Notas,Fecha de Notas
1554,158,18/07/2025 07:53 a. m.,6,0,6,0,0,2.8,,,0,9:06,25,0,4,1,1,97,38,104,125,0,0,0,2,5.4,6.8,5.4,5.6,0,0,0,0,0,,,,,,,,
8771,4,18/07/2025 04:17 a. m.,6,2,0,0,0,2.6,,,4,14:00,7,0,0,0,0,124,101,108,152,1,0,0,1,5.1,5,4.7,4.1,1296,786,588,0,0,,,,,,,,
6178,264,17/07/2025 11:59 p. m.,6,0,0,6,0,2.4,,,5,13:05,22,0,1,0,0,90,5,95,140,1,2,1,0,5,0,5.9,4.7,0,0,0,0,0,,,,,,,,
2076,354,18/07/2025 06:08 a. m.,3,0,0,0,0,1.5,,,4,10:52,5,1,0,0,0,100,86,35,165,1,1,3,4,5.3,5,5.3,5.6,0,0,0,0,0,,,,,,,,
1624,335,18/07/2025 08:13 a. m.,1,0,0,0,0,1.5,,,2,10:37,3,0,1,0,0,95,93,104,94,1,0,1,0,5,5.4,5.3,5.7,0,0,0,0,0,,,,,,,Sensor de rumia: 7635826,05/07/2023
1233,359,18/07/2025 08:00 a. m.,0,0,0,1,0,1.3,,,1,9:11,3,0,0,1,0,101,108,200,115,0,1,1,3,4.6,4.6,5.7,4.6,0,0,0,0,0,,,,,,,,
6191,89,18/07/2025 10:14 a. m.,7,0,0,0,0,1.3,,,0,6:34,1,0,0,0,0,113,121,110,111,3,0,0,1,5.2,5.8,5.1,5.3,0,0,0,0,0,,,,,,,,
8777,42,18/07/2025 12:52 a. m.,0,0,0,1,0,1.3,,,2,9:36,10,1,0,2,0,146,130,76,128,2,0,2,0,4.3,4.4,5.2,4.3,0,0,0,0,0,,,,,,,,
2078,396,18/07/2025 08:19 a. m.,7,0,0,0,0,1.3,,,0,8:22,3,0,0,0,0,95,101,110,103,2,0,0,0,4.8,4.8,4.9,5.4,0,0,0,0,0,,,,,,,,
2080,302,18/07/2025 06:37 a. m.,0,0,0,0,0,1.2,,,4,12:06,4,0,0,0,0,96,105,93,114,0,0,0,0,5.1,5,5.1,5.2,0,0,0,0,0,,,,,,,,
1613,329,18/07/2025 08:47 a. m.,0,0,0,0,0,1.2,,,1,9:57,2,0,1,1,0,100,105,96,97,0,0,4,1,5,5,4.9,5.3,0,0,0,0,0,,,,,,,,
2090,372,18/07/2025 06:46 a. m.,0,0,0,0,0,1.2,,,6,12:52,4,0,0,0,0,103,94,96,97,3,1,0,0,5.3,5,5.1,5.2,0,0,0,0,0,,,,,,,,
